numbodies,min,average,max
10,0.0006879999999999664,0.002699990000000001,0.005406999999999995
50,0.015874000000000166,0.0333949,0.04953399999999997
100,0.03916500000000056,0.048637160000000054,0.20874900000000007
200,0.15915800000000146,0.1638277100000001,0.1990190000000016
300,0.2764739999999968,0.28234462,0.3278940000000006
400,0.5360349999999983,0.6087935099999995,1.4096370000000036
500,0.8339010000000258,1.2543517000000008,3.676202999999987
1000,2.841826000000001,3.6365986800000005,7.755735000000016
