numbodies,min,average,max
10,0.0002550000000000052,0.0006807800000000011,0.0025130000000000152
50,0.005071999999999965,0.012962000000000003,0.023203000000000085
100,0.028558999999999557,0.04845364999999999,0.1727270000000003
200,0.12227999999999994,0.1253203799999999,0.15165900000000043
300,0.23238000000000625,0.2377842700000003,0.27261299999999977
400,0.4758340000000061,0.5249220599999999,0.9632900000000006
500,0.7255310000000179,0.751798510000001,1.0591479999999933
1000,2.919392000000016,4.2288776499999985,9.203939999999996
